issuing_authority,title,publication_date,submission_deadline,contract_duration,estimated_budget,required_skills,project_description
Banque Zitouna – Tunisie,Digital Banking Transformation Program,2026-02-22,2026-04-05,30 months,"€3,500,000 – €4,500,000","Core Banking;Microservices;AWS;DevOps;Cybersecurity","Comprehensive digital transformation of banking systems and mobile services."
Société Tunisienne des Eaux,Smart Water Management Platform,2026-03-02,2026-04-18,18 months,"€1,200,000 – €1,700,000","IoT;Data Analytics;Azure;Power BI","Deployment of smart monitoring system for water distribution networks."
Airbus – France,Cloud-Based Engineering Collaboration Platform,2026-02-14,2026-03-30,20 months,"€4,000,000 – €5,000,000","Cloud;Kubernetes;DevOps;CI/CD;Security","Development of secure cloud collaboration platform for engineering teams."
Capgemini – France,Enterprise AI Deployment Framework,2026-01-29,2026-03-10,16 months,"€2,000,000 – €2,800,000","Machine Learning;MLOps;Python;Azure","Deployment framework for enterprise AI solutions across multiple clients."
AXA France,Insurance Data Lake Modernization,2026-02-18,2026-04-01,24 months,"€2,500,000 – €3,500,000","Data Lake;Spark;Hadoop;Cloud;SQL","Modernization of enterprise insurance data lake infrastructure."
Ministère des Transports – Tunisie,National Transport Data Platform,2026-03-05,2026-04-20,18 months,"€1,400,000 – €1,900,000","Big Data;API;Cloud;Data Governance","Centralized transport data management and analytics platform."
CNAMTS – France,Healthcare Data Interoperability Platform,2026-02-12,2026-03-28,22 months,"€2,200,000 – €3,000,000","FHIR;API;Java;Cloud;Cybersecurity","Implementation of secure healthcare data exchange platform."
OCP Group – Morocco,Industrial Cybersecurity Upgrade,2026-01-30,2026-03-15,20 months,"€3,000,000 – €3,800,000","Cybersecurity;Firewall;SOC;SIEM","Upgrade of industrial cybersecurity systems."
Banque Internationale Arabe de Tunisie (BIAT),AI Credit Scoring System,2026-02-25,2026-04-10,18 months,"€1,700,000 – €2,300,000","Machine Learning;Python;SQL;Data Science","Development of AI-driven credit scoring platform."
Ministère de l’Industrie – Tunisie,National Industry 4.0 Platform,2026-03-08,2026-04-25,24 months,"€2,800,000 – €3,600,000","IoT;Cloud;Data Analytics;Automation","Deployment of Industry 4.0 digital transformation platform."
Renault – France,Connected Vehicle Data Platform,2026-02-20,2026-04-05,20 months,"€3,200,000 – €4,200,000","IoT;Cloud;Big Data;Kubernetes","Development of connected vehicle analytics infrastructure."
Ministère de la Culture – Tunisie,National Digital Archive System,2026-02-16,2026-03-30,16 months,"€900,000 – €1,300,000","OCR;Document Management;Cloud;Security","Digitization and cloud storage of national cultural archives."
Orange Tunisie,Enterprise Cloud Migration Project,2026-01-28,2026-03-05,18 months,"€2,000,000 – €2,700,000","Azure;Terraform;DevOps;Networking","Migration of enterprise IT systems to hybrid cloud environment."
SNCFT – Tunisie,Railway Operations Management System,2026-03-01,2026-04-15,24 months,"€1,900,000 – €2,600,000","Java;Spring;Database;Cloud","Modernization of railway operations digital systems."
BNP Paribas – France,DevSecOps Transformation Program,2026-02-11,2026-03-27,18 months,"€2,400,000 – €3,200,000","DevSecOps;CI/CD;Kubernetes;Security","Integration of DevSecOps practices across banking applications."
Ministère des Affaires Sociales – Tunisie,Social Benefits Digital Platform,2026-03-04,2026-04-18,20 months,"€1,200,000 – €1,800,000","Web Development;Cloud;API;Security","Development of centralized digital platform for social benefits."
Air Liquide – France,Industrial Data Analytics Upgrade,2026-02-07,2026-03-21,16 months,"€1,600,000 – €2,200,000","Big Data;Spark;Azure;Python","Upgrade of industrial data analytics platform."
Caisse d’Épargne – France,Customer 360 Data Platform,2026-02-26,2026-04-12,22 months,"€2,800,000 – €3,500,000","Data Integration;CRM;Cloud;Analytics","Implementation of customer 360 analytics solution."
Ministère de l’Équipement – Tunisie,GIS Infrastructure Monitoring System,2026-03-09,2026-04-24,18 months,"€1,100,000 – €1,600,000","GIS;Python;Cloud;Visualization","Deployment of GIS-based infrastructure monitoring solution."
TotalEnergies – France,Cloud ERP Integration Project,2026-02-15,2026-03-30,24 months,"€3,000,000 – €4,000,000","SAP;Cloud;API;DevOps","Integration of ERP systems with cloud services."
STMicroelectronics – France,Secure IoT Firmware Platform,2026-01-31,2026-03-10,18 months,"€2,200,000 – €2,900,000","Embedded Systems;Cybersecurity;IoT;C++","Development of secure IoT firmware deployment system."
Ministère de la Jeunesse – Tunisie,National Youth Digital Portal,2026-02-23,2026-04-06,14 months,"€700,000 – €1,100,000","React;Node.js;Cloud;API","Development of national youth engagement digital portal."
Groupe PSA – France,Manufacturing Data Intelligence System,2026-02-18,2026-04-02,20 months,"€2,500,000 – €3,300,000","Big Data;AI;Cloud;Kubernetes","Deployment of manufacturing analytics platform."
CNRS – France,Research Collaboration Cloud Environment,2026-03-06,2026-04-20,18 months,"€1,500,000 – €2,200,000","Cloud;HPC;Linux;Networking","Deployment of cloud-based research collaboration infrastructure."
Banque Populaire – Tunisie,Digital Wallet Platform,2026-02-12,2026-03-28,16 months,"€1,200,000 – €1,800,000","Mobile Development;API;Cloud;Security","Development of secure digital wallet platform."
EDF – France,AI-Based Energy Demand Forecasting,2026-02-05,2026-03-19,18 months,"€1,900,000 – €2,600,000","Machine Learning;Python;Time Series;Cloud","AI-based energy demand forecasting system."
Ministère de la Défense – Tunisie,Secure National Data Center Upgrade,2026-01-27,2026-03-05,30 months,"€4,500,000 – €6,000,000","Data Center;Virtualization;Security;Cloud","Upgrade of secure national data center infrastructure."
L’Oréal – France,Global CRM Cloud Migration,2026-02-21,2026-04-07,18 months,"€2,700,000 – €3,500,000","CRM;Azure;Data Migration;API","Migration of global CRM systems to cloud platform."
SNCF Réseau – France,Smart Rail IoT Monitoring System,2026-03-03,2026-04-17,20 months,"€2,000,000 – €2,800,000","IoT;Data Analytics;Cloud;Python","Deployment of smart rail monitoring analytics system."
Ministère de l’Équipement – Tunisie,Road Infrastructure Rehabilitation Project,2026-02-10,2026-03-25,18 months,"€5,000,000 – €7,000,000","Civil Engineering;Construction;Project Management","Rehabilitation and resurfacing of national highway infrastructure."
Municipalité de Tunis,Urban Waste Collection Services,2026-02-15,2026-03-30,24 months,"€2,000,000 – €3,000,000","Logistics;Fleet Management;Waste Processing","Provision of waste collection and urban sanitation services."
Ministère de l’Agriculture – Tunisie,Irrigation Network Construction,2026-03-01,2026-04-10,20 months,"€3,500,000 – €4,500,000","Hydraulic Engineering;Construction;Site Supervision","Construction of regional agricultural irrigation network."
SNCF Réseau – France,Railway Track Maintenance Works,2026-02-12,2026-03-28,16 months,"€4,000,000 – €6,000,000","Mechanical Engineering;Rail Infrastructure;Maintenance","Maintenance and renewal of railway track infrastructure."
Ministère de la Défense – France,Military Vehicle Procurement,2026-01-25,2026-03-05,12 months,"€15,000,000 – €20,000,000","Automotive Engineering;Logistics;Supply Chain","Procurement of armored military transport vehicles."
Hôpital Charles Nicolle – Tunisie,Medical Equipment Supply Contract,2026-02-18,2026-04-01,10 months,"€1,200,000 – €1,800,000","Medical Devices;Biomedical Engineering","Supply of radiology and imaging equipment."
Ministère du Logement – Tunisie,Public Housing Construction Program,2026-03-05,2026-04-20,30 months,"€10,000,000 – €15,000,000","Civil Engineering;Construction;Architecture","Construction of affordable public housing units."
RATP – France,Bus Fleet Expansion Project,2026-02-14,2026-03-29,14 months,"€8,000,000 – €12,000,000","Transport Logistics;Mechanical Engineering","Procurement of electric buses for public transport."
Ministère de l’Énergie – Tunisie,Solar Power Plant Construction,2026-02-20,2026-04-05,24 months,"€20,000,000 – €30,000,000","Renewable Energy;Electrical Engineering;Construction","Construction of 100MW solar energy plant."
Office National de l’Assainissement – Tunisie,Water Treatment Facility Upgrade,2026-03-03,2026-04-15,18 months,"€6,000,000 – €9,000,000","Hydraulic Systems;Mechanical Engineering","Upgrade of regional water treatment plant."
Ville de Marseille,Public Park Landscaping Project,2026-02-08,2026-03-22,12 months,"€900,000 – €1,300,000","Landscape Architecture;Construction","Urban park landscaping and public green space development."
Ministère de la Culture – France,National Museum Renovation Works,2026-02-17,2026-04-02,20 months,"€4,500,000 – €6,000,000","Construction;Architectural Restoration","Renovation of national museum facilities."
Compagnie Maritime Tunisienne,Port Infrastructure Expansion,2026-01-30,2026-03-10,30 months,"€25,000,000 – €35,000,000","Marine Engineering;Construction;Project Management","Expansion of commercial port infrastructure."
Ministère des Sports – Tunisie,Stadium Renovation Project,2026-02-11,2026-03-27,16 months,"€3,000,000 – €5,000,000","Construction;Civil Engineering;Architecture","Renovation of national sports stadium facilities."
Société Nationale des Autoroutes – France,Highway Toll Station Construction,2026-02-23,2026-04-07,14 months,"€7,000,000 – €10,000,000","Civil Engineering;Infrastructure Development","Construction of new toll stations."
Office National des Chemins de Fer – Tunisie,Locomotive Procurement Contract,2026-02-19,2026-04-03,12 months,"€12,000,000 – €18,000,000","Mechanical Engineering;Transport Logistics","Procurement of diesel locomotives."
Ministère de la Santé – Tunisie,Hospital Building Construction,2026-03-02,2026-04-18,28 months,"€15,000,000 – €22,000,000","Construction;Civil Engineering","Construction of new regional hospital building."
EDF – France,Hydroelectric Dam Maintenance,2026-02-16,2026-03-30,18 months,"€9,000,000 – €13,000,000","Hydraulic Engineering;Maintenance;Construction","Maintenance and structural reinforcement of hydroelectric dam."
Ville de Nice,Public Lighting Installation Project,2026-02-25,2026-04-10,12 months,"€1,500,000 – €2,000,000","Electrical Engineering;Installation","Installation of public street lighting infrastructure."
Ministère du Tourisme – Tunisie,Hotel Construction and Development Program,2026-03-06,2026-04-22,24 months,"€18,000,000 – €25,000,000","Construction;Architecture;Project Management","Development of national tourism hotel facilities."
